duplicatedText,secondPass,imageReference,section,folio,order
"σημεῖον τὸ Γ, καὶ ἐπεζεύχθωσαν αἱ ΑΓ ΓΒ","σημεῖον τὸ Γ, καὶ ἐπεζεύχθωσαν αἱ ΑΓ ΓΒ·","urn:cite:ecod:codbod8.cb-0008_168r@0.0841,0.3728,0.5355,0.0728",urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,168r,001
μεί-ζους τῶν ΑΖΗΘΚΕ,μείζους τῶν ΑΖΗΘΚΕ,"urn:cite:ecod:codbod8.cb-0008_169r@0.0821,0.4141,0.5516,0.0533",urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.4,169r,002
κινουμένου περὶ τὸ Α,<del>κινουμένου περὶ τὸ Α</del>,"urn:cite:ecod:codbod8.cb-0008_183v@0.3834,0.7127,0.5666,0.0765",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,183v,008
ὥστε καὶ ΜΚ πρὸς ΚΛ ἡ ΓΗ πρὸς ΗΤ·,"ὥστε καὶ ἡ ΜΚ πρὸς ΚΛ μείζονα λόγον ἔχει, ἤπερ ἡ ΓΗ πρὸς ΗΤ⁑","urn:cite:ecod:codbod8.cb-0008_171v@0.4004,0.6849,0.4795,0.0758",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,003
λαμβανομένης· ἀχθείσης δὴ,<del>λαμβανομένης· ἀχθείσης δὲ</del>,"urn:cite:ecod:codbod8.cb-0008_174v@0.3944,0.2858,0.5556,0.075",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.14,174r,005
τοὺς πινακίσκους,τοὺς πινακίσκους,"urn:cite:ecod:codbod8.cb-0008_188r@0.2933,0.3751,0.3574,0.0435",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,188r,012
διὰ τὰ αὐτὰ δὴ καὶ τὸ ΔΒΗ τοῦ ΒΗΑ,<del>διὰ τὰ αὐτὰ δὴ καὶ τὸ ΔΒΗ τοῦ ΒΗΑ</del>,"urn:cite:ecod:codbod8.cb-0008_173r@0.0521,0.4966,0.5546,0.0765",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,173r,004
ἡ δὲ,<del>ἡ δὲ</del>,"urn:cite:ecod:codbod8.cb-0008_176v@0.3924,0.3098,0.5746,0.0503",urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.9,176v,006
ΕΑ λαμβανομένων· ἐδείχθη δὲ καὶ ἐπὶ πάντων τῶν μεταξὺ τῶν,ΑΕ λαμβανομένων· ἐδεί-χθη δὲ καὶ ἐπὶ πάντων τῶν μεταξὺ τῶν,"urn:cite:ecod:codbod8.cb-0008_200r@0.0801,0.7464,0.5996,0.0375
urn:cite:ecod:codbod8.cb-0008_200v@0.3704,0.1058,0.5996,0.0818",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200r-200v,017
"οὕτως ἡ ΚΘ, πρὸς Δ· ἐπεὶ γὰρ γέγονεν ὡς ἡ ΨΥ πρὸς ΘΚ ἡ ΧΤ πρὸς Δ· ἐναλλάξ ὡς ἡ ΨΥ πρὸς ΧΤ· ἡ ΚΘ πρὸς Δ· ἀλλ' ὡς ἡ ΨΥ πρὸς ΧΤ τὸ ἀπὸ ΑΒ πρὸς τὸ ἀπὸ ΘΚ·","οὕτως ἡ ΚΘ πρὸς Δ· ἐπεὶ γὰρ γέγονεν ὡς ἡ ΨΥ πρὸς ΘΚ· ἡ ΧΤ πρὸς Δ· ἐναλλάξ ὡς ἡ ΨΥ πρὸς ΧΤ ἡ ΚΘ πρὸς Δ· ἀλλ' ὡς ἡ ΨΥ πρὸς ΧΤ, τὸ ἀπὸ ΑΒ πρὸς τὸ ἀπὸ ΘΚ·","urn:cite:ecod:codbod8.cb-0008_209v@0.4094,0.2618,0.5485,0.1388",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,209v,021
